📉 Starting Deep Audit of 147 rows...
------------------------------------------------------------
ID                                     | Day | Source     | Status
9e7e3c3d-142c-402f-a0ee-f7d44624b2db   | 10  | boss_battl | ✅ OK
8baf0d18-9b47-4a61-bdab-637d6690d7fe   | 12  | boss_battl | ✅ OK
cb897a65-58e3-4af3-a46d-c1a2d308c80e   | 12  | boss_battl | ✅ OK
1c942d2b-2ade-4cd8-8a78-c4354812fc94   | 12  | boss_battl | ✅ OK
65757344-6ebf-49fa-b405-2d8d779c2744   | 1   | textbook   | ✅ OK
71df1689-fb50-4b82-8456-44ab95361740   | 1   | textbook   | ✅ OK
d5bdb072-0ddc-4fdd-b30d-1f9eff78956f   | 1   | textbook   | ✅ OK
6b67378c-a8d1-42a1-901a-5a6d96229fed   | 1   | textbook   | ✅ OK
d5a23de6-12b1-494a-8e1b-7bad10b07958   | 1   | textbook   | ✅ OK
a61a0c37-4c46-4b9b-9992-718b18b82472   | 1   | textbook   | ✅ OK
de09d928-e738-4c34-acbd-74f6930485f7   | 1   | textbook   | ✅ OK
------------------------------------------------------------
📊 SUMMARY
Total Rows: 147
Rows with Issues: 97
  - Legacy/Unknown Source: 65
  - Textbook (Q35) Source: 32
Total Missing Starter: 0
Total Missing Solution: 0
------------------------------------------------------------
